lat,lon,osm_category,osm_type,place_name
51.5137835,-0.0863464,amenity,restaurant,panino gusto
51.5163838,-0.0878586,amenity,restaurant,one moorgate place
51.5144903,-0.0840663,amenity,restaurant,piazza italiana
51.5143246,-0.085187,amenity,restaurant,burger & lobster
51.5164859,-0.078969,amenity,restaurant,appennino
51.516441,-0.0787985,amenity,restaurant,enoteca da luca
51.5171415,-0.079769,amenity,restaurant,fish market
51.5173594,-0.0816951,amenity,restaurant,1901
51.5173794,-0.0817622,amenity,restaurant,eastway
51.5161459,-0.0812372,amenity,restaurant,sushi samba
51.5162092,-0.0810446,amenity,restaurant,duck & waffle
51.5113168,-0.0816323,amenity,restaurant,haz plantation place
51.515691,-0.0790092,amenity,restaurant,haz wine & dine
51.5120075,-0.0834784,amenity,restaurant,nando's
51.511838,-0.0835891,amenity,restaurant,barcelona
51.5117152,-0.0832168,amenity,restaurant,momo canteen
51.5169075,-0.0801505,amenity,restaurant,three uncles
51.5171424,-0.078597,amenity,restaurant,cinnamon kitchen
51.5169755,-0.0783952,amenity,restaurant,devonshire terrace
51.5170552,-0.0794389,amenity,restaurant,new street grill
51.5175765,-0.0781411,amenity,restaurant,london steakhouse co
51.5173166,-0.0826172,amenity,restaurant,patty & bun
51.5135271,-0.1002773,amenity,restaurant,franco manca
51.5140359,-0.1058433,amenity,restaurant,cord
51.5140183,-0.0950175,amenity,restaurant,madison
51.5142317,-0.0907172,amenity,restaurant,goodmans city
51.5228655,-0.0977285,amenity,restaurant,people's choice cafe
51.518173,-0.0802503,amenity,restaurant,honi poke
51.5182442,-0.0802172,amenity,restaurant,jwd lamian
51.5180574,-0.0791882,amenity,restaurant,naniwa
51.5179688,-0.0792995,amenity,restaurant,boisdale
51.5144556,-0.0864955,amenity,restaurant,m bar & grill
51.513831,-0.1045571,amenity,restaurant,indian city
51.5189954,-0.0898031,amenity,restaurant,bad egg
51.5163649,-0.0782914,amenity,restaurant,pitt cue
51.5185352,-0.0786177,amenity,restaurant,canto corvino
51.5186827,-0.0836721,amenity,restaurant,franco manca
51.5186497,-0.083303,amenity,restaurant,fogg's city tavern
51.5188085,-0.0837418,amenity,restaurant,comptoir libanais
51.5188184,-0.0831719,amenity,restaurant,jose pizarro
51.5149431,-0.1024935,amenity,restaurant,shugetsu
51.5196885,-0.0903759,amenity,restaurant,pham sushi
51.5187875,-0.0868297,amenity,restaurant,bread street kitchen & bar
51.5120426,-0.0829876,amenity,restaurant,bolton's restaurant
51.5135637,-0.0807327,amenity,restaurant,caravaggio
51.5146457,-0.0847648,amenity,restaurant,rocket
51.5150841,-0.091359,amenity,restaurant,the trading house
51.5155147,-0.0909278,amenity,restaurant,enoteca da luca
51.5192305,-0.0795951,amenity,restaurant,jamies wine bar
51.5133839,-0.0782334,amenity,restaurant,omnino
51.5129085,-0.0837349,amenity,restaurant,butcher
51.5111359,-0.0841869,amenity,restaurant,spice trader
51.5099858,-0.0859874,amenity,restaurant,al dente
51.5129237,-0.0850193,amenity,restaurant,bangalore express
51.5135163,-0.0937777,amenity,restaurant,taberna etrusca
51.5146364,-0.1032884,amenity,restaurant,obicà
51.5124464,-0.098566,amenity,restaurant,mangio
51.5120383,-0.0937282,amenity,restaurant,nyokee
51.5194111,-0.0983217,amenity,restaurant,disappearing dining club
51.5147451,-0.1051801,amenity,restaurant,1az turkish
51.5154619,-0.1091644,amenity,restaurant,master dough
51.5112659,-0.0837366,amenity,restaurant,skygarden - darwin brasserie
51.51123,-0.0837459,amenity,restaurant,skygarden - fenchurch restaurant
51.5145119,-0.1097204,amenity,restaurant,clifford's
51.5121599,-0.1048042,amenity,restaurant,chinese cricket club
51.516899,-0.0787171,amenity,restaurant,mac and wild
51.5127038,-0.1070763,amenity,restaurant,natural kitchen
51.5137663,-0.0736683,amenity,restaurant,marqusa
51.5151522,-0.0962783,amenity,restaurant,rucoletta deli
51.5121916,-0.0924836,amenity,restaurant,homeslice
51.5119761,-0.0911375,amenity,restaurant,caravan
51.5120591,-0.0907739,amenity,restaurant,vinoteca
51.5177431,-0.07833,amenity,restaurant,franco manca
51.5195083,-0.0846072,amenity,restaurant,bar douro
51.5194298,-0.0846536,amenity,restaurant,baraka
51.516884,-0.0828326,amenity,restaurant,the ivy
51.5122096,-0.0915275,amenity,restaurant,koya
51.5106651,-0.0807214,amenity,restaurant,k10
51.5122026,-0.0839984,amenity,restaurant,badolina
51.5126188,-0.091782,amenity,restaurant,brigadiers
51.5124503,-0.0919606,amenity,restaurant,bao city
51.5148639,-0.0872406,amenity,restaurant,coya
