borough_code,borough_name,avg_price,population,hectares,population_per_hectare,crime_count,amenity_count,amenity_diversity,crime_per_capita
E05000340,Hillingdon,237359.1797752809,765768,18532.0,41.32139002875,47277,935.0,5.0,0.06173801987024791
E05000341,Hillingdon,237359.1797752809,685313,12468.0,54.9657523255,47277,935.0,5.0,0.06898599617984774
E05000342,Hillingdon,237359.1797752809,759342,13960.0,54.39412607475,47277,935.0,5.0,0.06226048341853868
E05000343,Hillingdon,237359.1797752809,506108,17560.0,28.821640090749998,47277,935.0,5.0,0.09341286839963012
E05000344,Hillingdon,237359.1797752809,608821,9328.0,65.26811749525,47277,935.0,5.0,0.07765336609611036
E05000345,Hillingdon,237359.1797752809,662310,16052.0,41.260279093499996,47277,935.0,5.0,0.0713819812474521
E05000346,Hounslow,278639.96629213484,539488,17788.0,30.32876096275,52078,,,0.09653226763153212
E05000347,Hounslow,278639.96629213484,820298,12748.0,64.3471917165,52078,,,0.06348668410748289
E05000348,Hounslow,278639.96629213484,479122,9024.0,53.09419326175,52078,,,0.10869465397122235
E05000349,Hounslow,278639.96629213484,468866,8324.0,56.327006245999996,52078,,,0.11107224665469452
E05000350,Hounslow,278639.96629213484,538233,10892.0,49.415442526999996,52078,,,0.09675735229909724
E05000351,Hounslow,278639.96629213484,545771,13536.0,40.319961584,52078,,,0.09542097326534389
E05000352,Hounslow,278639.96629213484,664374,12728.0,52.19783155275,52078,,,0.07838657141911032
E05000353,Hounslow,278639.96629213484,484668,13004.0,37.27068594275,52078,,,0.10745087358769302
E05000354,Hounslow,278639.96629213484,621203,14564.0,42.653323262,52078,,,0.08383410897886842
E05000355,Hounslow,278639.96629213484,556766,6740.0,82.6062314535,52078,,,0.09353660245058068
E05000356,Hounslow,278639.96629213484,590916,8016.0,73.71706586799999,52078,,,0.08813096954558686
E05000357,Hounslow,278639.96629213484,520997,15320.0,34.00763707525,52078,,,0.09995834908838247
E05000358,Hounslow,278639.96629213484,942222,6944.0,135.68865207925,52078,,,0.05527147529987625
E05000359,Hounslow,278639.96629213484,686062,11148.0,61.541263007249995,52078,,,0.07590859135180203
E05000360,Hounslow,278639.96629213484,507096,7172.0,70.70496374775,52078,,,0.10269850284758704
E05000361,Hounslow,278639.96629213484,699634,6484.0,107.90160395000001,52078,,,0.0744360622839942
E05000362,Hounslow,278639.96629213484,514774,8124.0,63.364598720000004,52078,,,0.10116672559220162
E05000363,Hounslow,278639.96629213484,638278,25348.0,25.18060596475,52078,,,0.08159140687913417
E05000364,Hounslow,278639.96629213484,745980,11408.0,65.39095371625,52078,,,0.06981152309713397
E05000365,Hounslow,278639.96629213484,537296,7064.0,76.0611551535,52078,,,0.09692608915755933
E05000366,Islington,397211.393258427,576417,3320.0,173.61957831249998,60436,1.0,1.0,0.10484770574080918
E05000367,Islington,397211.393258427,858963,4356.0,197.19077135499998,60436,1.0,1.0,0.07035925878064596
E05000368,Islington,397211.393258427,713291,4552.0,156.69837434250002,60436,1.0,1.0,0.08472839275975724
E05000369,Islington,397211.393258427,546819,3228.0,169.39869888,60436,1.0,1.0,0.11052286039804762
E05000370,Islington,397211.393258427,552416,3740.0,147.7048128425,60436,1.0,1.0,0.10940305856456004
E05000371,Islington,397211.393258427,705356,3664.0,192.509825325,60436,1.0,1.0,0.08568155654733213
E05000372,Islington,397211.393258427,563920,4016.0,140.418326695,60436,1.0,1.0,0.1071712299616967
E05000373,Islington,397211.393258427,757298,4328.0,174.9764325425,60436,1.0,1.0,0.0798047796244015
E05000374,Islington,397211.393258427,536493,3300.0,162.5736363625,60436,1.0,1.0,0.11265011845448124
E05000375,Islington,397211.393258427,697652,4036.0,172.857284445,60436,1.0,1.0,0.08662771697063866
E05000376,Islington,397211.393258427,553357,4112.0,134.57125487000002,60436,1.0,1.0,0.10921701541681049
E05000377,Islington,397211.393258427,612863,3304.0,185.4912227575,60436,1.0,1.0,0.09861257736231425
E05000378,Islington,397211.393258427,618753,3384.0,182.846631205,60436,1.0,1.0,0.0976738698640653
E05000379,Islington,397211.393258427,551021,3476.0,158.5215765275,60436,1.0,1.0,0.10968003034367112
E05000380,Islington,397211.393258427,636662,3240.0,196.5006172825,60436,1.0,1.0,0.09492635024549918
E05000381,Islington,397211.393258427,594044,3388.0,175.33766234750001,60436,1.0,1.0,0.10173657170175947
E05000382,Kensington And Chelsea,1009102.3820224719,500500,2516.0,198.92686804,44159,,,0.08822977022977023
E05000383,Kensington And Chelsea,1009102.3820224719,369191,3820.0,96.64685863874999,44159,,,0.11961017467923107
E05000384,Kensington And Chelsea,1009102.3820224719,344494,3648.0,94.43366228049999,44159,,,0.12818510627180735
E05000385,Kensington And Chelsea,1009102.3820224719,330422,1564.0,211.2672634175,44159,,,0.13364424886962734
E05000386,Kensington And Chelsea,1009102.3820224719,355203,1928.0,184.233921165,44159,,,0.12432045900513228
E05000387,Kensington And Chelsea,1009102.3820224719,335633,2448.0,137.104983655,44159,,,0.13156930337600892
E05000388,Kensington And Chelsea,1009102.3820224719,426930,1836.0,232.53267973500002,44159,,,0.10343381819033565
